📘 Module 1 Vocabulary
🔹 Unit 1c

English	               Kazakh	      Russian
antique /ænˈtiːk/ (n)	көне	      античный
colleague /ˈkɒliːɡ/ (n)	қызметтес	  коллега
determination /dɪˌtɜːmɪˈneɪʃən/ (n)	анықтау	определение
engrave /ɪnˈɡreɪv/ (v)	оймыштау; оюып жазу	выгравировать
exhibition /ˌeksɪˈbɪʃən/ (n)	мұражай	музей
high-quality /ˌhaɪ ˈkwɒl.ə.ti/ (adj)	жоғары сапа	высокое качество
miniature /ˈmɪnətʃə/ (n)	миниатюралы	миниатюрный
official /əˈfɪʃəl/ (adj)	ресми	официальный
rug /rʌɡ/ (n)	кілем	ковер
success /səkˈses/ (n)	сәттілік	удача
textile /ˈtekstaɪl/ (n)	тоқыма	текстиль
